family,context,variant,weight,seed,split,profile,baseline,delta_ER20,delta_F20,delta_LE_CD,delta_LF_CD,delta_SELD_LF,delta_LR_CD,delta_SELD_LR
Multi-ACCDOA,noncausal,A3_lambda005,0.05,2026,evaluation,dcase2020_source,A0,0.03732645474546703,-0.03125770480412804,0.003362057982945643,-0.04572472498963176,0.028581890659783005,,
Multi-ACCDOA,noncausal,A3_lambda005,0.05,2026,evaluation,dcase2020_web_lr,A0,0.03732645474546703,-0.03125770480412804,0.003362057982945643,,,-0.050982474774296405,0.02989632810594911
Multi-ACCDOA,noncausal,A3_lambda005,0.05,2026,evaluation,dcase2023_micro,A0,0.0375251284342194,-0.031334633862366346,-0.021245574328071726,,,-0.05033382036167533,0.02976888792244292
Multi-ACCDOA,noncausal,A3_lambda005,0.05,2026,evaluation,dcase2023_macro,A0,0.0375251284342194,-0.08239316475259967,-0.2941314887412787,,,-0.09337516673199842,0.05291484902311938
EINV2,causal,C1,0.2,2026,evaluation,dcase2020_source,C0.1,-0.020635763599120005,-0.0004937449622878232,0.6250194153201623,-0.00020684100728485255,-0.00411571188610893,,
EINV2,causal,C1,0.2,2026,evaluation,dcase2020_web_lr,C0.1,-0.020635763599120005,-0.0004937449622878232,0.6250194153201623,,,-0.017297625369850467,0.0001569842045324732
EINV2,causal,C1,0.2,2026,evaluation,dcase2023_micro,C0.1,-0.02538902538902532,-0.0003109982202859074,0.6302383431774299,,,-0.0180029768933595,-0.0008934315366541101
EINV2,causal,C1,0.2,2026,evaluation,dcase2023_macro,C0.1,-0.02538902538902532,0.0033921351301716696,0.6931603341378132,,,-0.009995037620079805,-0.003733808038476727
EINV2,causal,C2,0.2,2026,evaluation,dcase2020_source,C0.1,-0.0295121766178591,0.0058926318653131915,0.8917682547111649,0.014930980136774963,-0.011345380134554661,,
EINV2,causal,C2,0.2,2026,evaluation,dcase2020_web_lr,C0.1,-0.0295121766178591,0.0058926318653131915,0.8917682547111649,,,0.002503603671952126,-0.008238536018349008
EINV2,causal,C2,0.2,2026,evaluation,dcase2023_micro,C0.1,-0.023899932990842032,0.005214723069948524,0.8992680032821188,,,0.0030977183557434618,-0.006804110266241725
EINV2,causal,C2,0.2,2026,evaluation,dcase2023_macro,C0.1,-0.023899932990842032,0.011461987194877676,0.918591615943054,,,0.00889993924648802,-0.009789643169242135
Multi-ACCDOA,causal,C1_lambda005,0.05,2026,evaluation,dcase2020_source,C0,0.0006069342235035524,0.0036727213395276737,-0.24868096621649727,-0.003288471404118032,-0.00028971915883274635,,
Multi-ACCDOA,causal,C1_lambda005,0.05,2026,evaluation,dcase2020_web_lr,C0,0.0006069342235035524,0.0036727213395276737,-0.24868096621649727,,,-0.0059176086791593585,0.0003675651599275298
Multi-ACCDOA,causal,C1_lambda005,0.05,2026,evaluation,dcase2023_micro,C0,-0.006179733452460812,0.0035558789378680733,-0.3112258914609036,,,-0.006620500404333485,-0.0012110361790834134
Multi-ACCDOA,causal,C1_lambda005,0.05,2026,evaluation,dcase2023_macro,C0,-0.006179733452460812,0.009503435840805152,-0.10756027987680739,,,0.009421243839214999,-0.0064254925607267754
EINV2,causal,C3,0.2,2026,evaluation,dcase2020_source,C0.1,-0.021090964266747614,0.021480330088173405,-1.6065865954666805,-0.00762326441554162,-0.01096837775632642,,
EINV2,causal,C3,0.2,2026,evaluation,dcase2020_web_lr,C0.1,-0.021090964266747614,0.021480330088173405,-1.6065865954666805,,,-0.009786814353994311,-0.010427490271713191
EINV2,causal,C3,0.2,2026,evaluation,dcase2023_micro,C0.1,-0.029409574864120325,0.0253058735127073,-1.6683923921453552,,,-0.005814366796133674,-0.014542482050931005
EINV2,causal,C3,0.2,2026,evaluation,dcase2023_macro,C0.1,-0.029409574864120325,0.007742480650135386,-1.5272194418609502,,,-0.01900945860760439,-0.006656787340358683
Multi-ACCDOA,causal,C2_lambda005,0.05,2026,evaluation,dcase2020_source,C0,0.0022001365602002387,0.00028838981380430173,-0.215846652449029,-0.005749926679116113,0.0016156313390877086,,
Multi-ACCDOA,causal,C2_lambda005,0.05,2026,evaluation,dcase2020_web_lr,C0,0.0022001365602002387,0.00028838981380430173,-0.215846652449029,,,-0.007966011683483765,0.0021696525901795938
Multi-ACCDOA,causal,C2_lambda005,0.05,2026,evaluation,dcase2023_micro,C0,-0.00379718561536746,0.000519774653732874,-0.25716553308325096,,,-0.008397725184605576,0.0006630168773717471
Multi-ACCDOA,causal,C2_lambda005,0.05,2026,evaluation,dcase2023_macro,C0,-0.00379718561536746,-0.017508471379415413,-0.029503043165647114,,,-0.023491289943154914,0.009259667477959588
Multi-ACCDOA,causal,C3_lambda005,0.05,2026,evaluation,dcase2020_source,C0,0.0010621348911311612,0.009322824792361017,-0.6008430243572818,-0.004312559768644975,-0.001821536733642437,,
Multi-ACCDOA,causal,C3_lambda005,0.05,2026,evaluation,dcase2020_web_lr,C0,0.0010621348911311612,0.009322824792361017,-0.6008430243572818,,,-0.004476139898338505,-0.00178064170121911
Multi-ACCDOA,causal,C3_lambda005,0.05,2026,evaluation,dcase2023_micro,C0,-0.004020549475095003,0.00922897925218974,-0.6597227381832926,,,-0.005146842311711142,-0.0029419531847035274
Multi-ACCDOA,causal,C3_lambda005,0.05,2026,evaluation,dcase2023_macro,C0,-0.004020549475095003,-0.02943209486530851,-12.647467880521088,,,-0.03240527446859692,-0.00311172264713222
EINV2,noncausal,E1,0.2,2026,evaluation,dcase2020_source,E0,-0.0025794704498899867,-0.005741465562897452,-0.062628348133563,-0.0007418541901458298,0.0008889785089361835,,
EINV2,noncausal,E1,0.2,2026,evaluation,dcase2020_web_lr,E0,-0.0025794704498899867,-0.005741465562897452,-0.062628348133563,,,-0.010166148243684114,0.0032450520223207546
EINV2,noncausal,E1,0.2,2026,evaluation,dcase2023_micro,E0,-0.007892189710371478,-0.004255852403576399,-0.055318679712030416,,,-0.009687654186653849,0.001435997720364679
EINV2,noncausal,E1,0.2,2026,evaluation,dcase2023_macro,E0,-0.007892189710371478,-0.004579914263195928,-0.2751161591462665,,,-0.016624028613061226,0.002945832514879454
EINV2,noncausal,E2,0.2,2026,evaluation,dcase2020_source,E0,0.007131477126166463,-0.015100327695496185,1.4179489773999734,-0.003505587328459625,0.008403721617252752,,
EINV2,noncausal,E2,0.2,2026,evaluation,dcase2020_web_lr,E0,0.007131477126166463,-0.015100327695496185,1.4179489773999734,,,-0.008876413018739093,0.009746428039822619
EINV2,noncausal,E2,0.2,2026,evaluation,dcase2023_micro,E0,0.0018613654977291394,-0.013820700133235109,1.4219812611375158,,,-0.008662134211154804,0.00806102393433189
EINV2,noncausal,E2,0.2,2026,evaluation,dcase2023_macro,E0,0.0018613654977291394,-0.015672336935707687,1.1653822212325107,,,-0.01401344994063769,0.009505374511897063
Multi-ACCDOA,noncausal,A3_lambda005,0.05,2026,validation,dcase2020_source,A0,0.03194888178913735,-0.028394481665601545,0.4958553619323762,-0.020274957645909697,0.02084326827784605,,
Multi-ACCDOA,noncausal,A3_lambda005,0.05,2026,validation,dcase2020_web_lr,A0,0.03194888178913735,-0.028394481665601545,0.4958553619323762,,,-0.027993305948577518,0.022772855353512977
Multi-ACCDOA,noncausal,A3_lambda005,0.05,2026,validation,dcase2023_micro,A0,0.03150194087787406,-0.028962865802841686,0.505445411474648,,,-0.0273972602739726,0.02266752425460905
Multi-ACCDOA,noncausal,A3_lambda005,0.05,2026,validation,dcase2023_macro,A0,0.03150194087787406,-0.06138246401039382,12.440421951744275,,,-0.06811249129473396,0.05752758786761758
EINV2,noncausal,E3,0.2,2026,evaluation,dcase2020_source,E0,0.005007207343904141,-0.009320696255068817,0.11794959556825724,-0.008698644302313707,0.005920455858055368,,
EINV2,noncausal,E3,0.2,2026,evaluation,dcase2020_web_lr,E0,0.005007207343904141,-0.009320696255068817,0.11794959556825724,,,-0.007586677793794183,0.005642464230925487
EINV2,noncausal,E3,0.2,2026,evaluation,dcase2023_micro,E0,0.0051373687737324425,-0.008939946989019565,0.12127404819441168,,,-0.005767797961350407,0.00512971460907341
EINV2,noncausal,E3,0.2,2026,evaluation,dcase2023_macro,E0,0.0051373687737324425,-0.008798422741045142,0.0900848672317629,,,-0.00574019454746999,0.005044114386717147
EINV2,causal,C1,0.2,2026,validation,dcase2020_source,C0.1,-0.00030427506465846577,-0.004919971054097805,0.5069825155426244,-0.004721881206202538,0.003038536681608528,,
EINV2,causal,C1,0.2,2026,validation,dcase2020_web_lr,C0.1,-0.00030427506465846577,-0.004919971054097805,0.5069825155426244,,,-0.012323140118667308,0.0049388514097247205
