family,context,variant,weight,seed,split,config,checkpoint,prediction_dir,profile,ER20,F20,LE_CD,LF_CD,SELD_LF,LR_CD,SELD_LR
EINV2,causal,C0.1,0,2026,evaluation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_EINV2_C0_bestfix_seed2026_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/EINV2_C0_bestfix_seed2026/checkpoints/rabbit02_gpu3_bestfix_seed2026_epoch_82.pth,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_infer/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2026_evaluation/submissions,dcase2020_source,0.6132311660723769,0.5702675006183963,14.503934680686598,0.6680801441747056,0.36386523404299465,,
EINV2,causal,C0.1,0,2026,evaluation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_EINV2_C0_bestfix_seed2026_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/EINV2_C0_bestfix_seed2026/checkpoints/rabbit02_gpu3_bestfix_seed2026_epoch_82.pth,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_infer/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2026_evaluation/submissions,dcase2020_web_lr,0.6132311660723769,0.5702675006183963,14.503934680686598,,,0.717168651847356,0.35159310712483205
EINV2,causal,C0.1,0,2026,evaluation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_EINV2_C0_bestfix_seed2026_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/EINV2_C0_bestfix_seed2026/checkpoints/rabbit02_gpu3_bestfix_seed2026_epoch_82.pth,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_infer/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2026_evaluation/submissions,dcase2023_micro,0.6620504802322984,0.5571399331377499,14.497521589780344,,,0.7085832777901208,0.3692172639785797
EINV2,causal,C0.1,0,2026,evaluation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_EINV2_C0_bestfix_seed2026_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/EINV2_C0_bestfix_seed2026/checkpoints/rabbit02_gpu3_bestfix_seed2026_epoch_82.pth,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_infer/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2026_evaluation/submissions,dcase2023_macro,0.6620504802322984,0.5619536067263667,13.169026543705272,,,0.6902608758104873,0.3707493140678962
Multi-ACCDOA,causal,C0,0,2026,evaluation,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/35_paper_v1_C0_seed2026_eval_split0_multiaccdoa_foa.json#params,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/35_paper_v1_C0_seed2026_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/results/35_paper_v1_C0_seed2026_eval_split0_multiaccdoa_foa_20260902095315_test,dcase2020_source,0.6023063500493134,0.501088797483668,15.24564921540665,0.6185982740543591,0.39182933242699747,,
Multi-ACCDOA,causal,C0,0,2026,evaluation,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/35_paper_v1_C0_seed2026_eval_split0_multiaccdoa_foa.json#params,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/35_paper_v1_C0_seed2026_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/results/35_paper_v1_C0_seed2026_eval_split0_multiaccdoa_foa_20260902095315_test,dcase2020_web_lr,0.6023063500493134,0.501088797483668,15.24564921540665,,,0.5818981867840073,0.40100435424458547
Multi-ACCDOA,causal,C0,0,2026,evaluation,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/35_paper_v1_C0_seed2026_eval_split0_multiaccdoa_foa.json#params,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/35_paper_v1_C0_seed2026_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/results/35_paper_v1_C0_seed2026_eval_split0_multiaccdoa_foa_20260902095315_test,dcase2023_micro,0.6035291489836945,0.4965840482999682,15.355293128001897,,,0.5734281270828705,0.4047060394113277
Multi-ACCDOA,causal,C0,0,2026,evaluation,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/35_paper_v1_C0_seed2026_eval_split0_multiaccdoa_foa.json#params,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/35_paper_v1_C0_seed2026_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/results/35_paper_v1_C0_seed2026_eval_split0_multiaccdoa_foa_20260902095315_test,dcase2023_macro,0.6035291489836945,0.42052109697013623,38.489264598264654,,,0.4839334465502395,0.4782259633078639
Multi-ACCDOA,noncausal,A3_lambda005,0.05,2026,evaluation,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/52_supplemental_v2_A3_lambda005_seed2026_eval_split0_multiaccdoa_foa.json#params,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/52_supplemental_v2_A3_lambda005_seed2026_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_supplemental_v2_A3_lambda005_seed2026_evaluation_seed2026_evaluation_t050,dcase2020_source,0.5589105530688112,0.5292414591777649,14.724995886227331,0.6495160890065347,0.36548963439644366,,
Multi-ACCDOA,noncausal,A3_lambda005,0.05,2026,evaluation,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/52_supplemental_v2_A3_lambda005_seed2026_eval_split0_multiaccdoa_foa.json#params,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/52_supplemental_v2_A3_lambda005_seed2026_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_supplemental_v2_A3_lambda005_seed2026_evaluation_seed2026_evaluation_t050,dcase2020_web_lr,0.5589105530688112,0.5292414591777649,14.724995886227331,,,0.5957059403687125,0.37894217155589915
