1,2,3,-14
2,2,7,-17
3,2,8,-15
4,2,7,-15
5,2,9,-11
6,2,9,-12
7,2,7,-13
8,2,9,-13
9,2,8,-11
10,2,8,-9
11,2,7,-9
12,2,8,-9
13,2,7,-8
21,2,56,2
22,2,89,5
23,9,87,9
24,2,130,22
24,9,90,-2
25,9,88,-3
26,9,84,-3
27,2,151,53
27,8,84,-4
28,8,84,-3
29,8,81,-2
30,8,82,-4
31,9,81,-2
32,9,80,-2
34,9,81,-2
35,9,80,-4
43,1,-109,3
44,1,-114,11
46,1,-110,7
47,1,-112,7
48,1,-115,8
49,9,-36,-2
50,1,-37,2
51,1,-112,7
52,1,-40,10
52,1,-104,6
54,10,-62,2
56,6,-54,-2
57,6,-50,-1
58,6,-47,12
58,6,-46,1
59,6,-46,-1
60,6,-51,13
60,6,-44,0
61,6,-41,0
62,6,-39,-2
63,6,-40,2
66,1,-100,8
67,1,-131,5
68,1,-132,7
69,1,-133,6
70,1,-134,6
71,1,-134,6
72,1,-135,5
73,1,-133,6
74,1,-134,8
75,1,-135,7
76,1,-136,8
77,1,-138,10
78,1,-139,9
79,1,-140,9
80,1,-140,8
81,1,-144,8
82,1,-147,7
83,1,-141,8
84,1,-142,8
85,1,-137,7
86,1,-130,8
87,1,-128,7
88,1,-126,7
89,1,-134,7
90,1,-143,6
91,1,-144,4
92,1,-145,4
93,1,-149,4
94,1,-138,8
95,1,-134,8
96,1,-124,6
97,1,-110,2
98,1,-103,-1
99,1,-103,0
100,1,-103,2
101,1,-102,0
102,12,-93,-1
103,12,-89,-1
104,12,-85,-1
105,12,-81,0
106,12,-78,0
107,12,-75,0
108,12,-75,1
110,12,-73,1
114,12,-74,1
115,12,-73,1
129,3,-115,-1
130,3,-111,-2
131,12,-107,-1
132,12,-104,-1
133,12,-104,-2
134,12,-106,-1
135,12,-107,0
136,12,-106,2
137,12,-98,0
138,12,-92,1
139,12,-84,1
140,12,-106,4
141,12,-107,5
142,12,-108,3
143,12,-107,3
144,12,-106,1
145,12,-105,1
146,12,-105,1
147,12,-90,1
149,12,17,12
150,13,16,12
151,13,12,10
152,13,10,10
153,13,10,8
154,12,-44,22
154,13,9,10
155,13,8,10
156,12,-13,13
156,13,7,10
157,13,4,12
158,12,-15,22
158,13,5,14
159,12,-13,22
159,13,5,12
160,12,3,2
161,13,3,18
162,13,3,17
163,13,2,11
164,13,3,14
165,13,3,14
166,13,1,10
167,13,2,12
168,13,1,11
169,13,0,11
170,13,2,9
171,13,4,11
172,13,4,13
173,13,6,16
174,13,4,15
175,13,2,11
176,13,5,21
177,13,2,23
178,0,-112,5
179,0,-105,2
180,0,-107,2
181,12,4,17
181,0,-108,4
188,12,13,16
188,0,-105,3
189,12,11,17
189,0,-106,4
190,12,14,19
190,0,-103,2
191,12,-107,1
192,0,-107,1
195,12,-103,0
196,12,-97,3
197,12,-91,5
198,12,-87,5
199,12,-86,6
222,12,-111,-4
223,12,-110,8
224,12,-106,5
225,12,-105,4
226,12,-105,3
227,12,-106,3
228,12,-105,3
229,12,-104,2
230,12,-96,-1
231,12,-91,-1
232,12,-83,0
233,12,-79,0
234,12,-78,1
235,12,-179,6
236,1,176,5
237,1,172,2
238,1,171,2
239,1,169,2
240,5,173,9
241,5,173,5
242,5,173,2
243,1,174,2
244,1,176,3
245,1,175,3
246,1,174,3
247,1,174,3
248,1,175,3
249,1,175,3
250,1,175,4
251,1,174,4
252,1,174,4
253,1,173,3
254,1,171,6
255,1,170,7
256,1,169,9
257,1,166,10
258,2,165,13
259,2,163,16
260,2,164,18
261,2,164,20
262,2,164,20
263,2,162,21
264,2,161,21
265,2,161,21
266,2,160,21
267,2,161,22
268,2,161,21
269,4,162,22
270,4,162,22
271,4,163,22
272,4,162,21
273,4,162,21
274,4,161,22
275,4,161,22
276,4,162,22
277,4,162,22
278,4,161,21
279,4,160,20
280,7,167,18
281,2,167,19
282,2,166,21
283,2,168,24
284,2,168,27
285,2,166,25
286,2,164,25
287,2,162,24
288,2,161,24
289,2,161,24
290,2,161,23
291,2,161,23
292,9,-55,6
292,2,159,23
293,9,-50,5
293,2,161,23
294,9,-54,5
294,2,160,24
295,2,161,23
296,2,160,23
297,2,160,23
298,2,161,23
299,2,162,23
300,2,161,24
301,2,162,24
302,2,162,24
303,2,162,24
304,2,161,24
305,2,161,23
306,2,161,24
307,2,161,24
308,2,160,24
309,2,160,24
310,2,160,24
311,2,160,24
312,2,160,24
313,2,161,24
314,2,162,24
315,2,161,24
316,2,160,24
317,2,161,25
318,2,160,25
319,2,160,25
320,7,170,19
321,2,169,19
322,2,167,20
323,7,168,22
324,7,169,24
325,7,167,23
326,7,164,23
327,7,162,23
328,7,162,23
329,7,161,23
330,7,161,23
331,7,161,22
332,7,161,22
333,7,161,22
334,7,162,23
335,7,162,23
336,7,163,23
337,7,162,23
338,7,161,23
339,7,161,22
340,0,38,6
340,7,162,21
341,0,40,5
341,7,162,21
342,7,161,23
343,7,159,26
348,7,158,23
349,7,156,24
350,7,155,24
352,2,159,23
357,2,163,22
358,2,167,22
359,4,166,22
360,2,170,19
361,2,168,21
362,7,165,21
363,7,168,23
364,7,169,24
365,7,166,23
366,7,164,23
367,7,162,22
368,7,162,22
369,7,162,22
370,7,162,22
371,7,162,23
372,7,162,23
373,7,162,23
374,7,162,23
375,7,163,23
376,7,163,22
377,7,163,23
378,7,163,22
379,7,163,22
380,7,162,22
381,7,162,22
382,7,162,23
383,7,162,23
384,7,161,23
385,7,163,22
386,7,163,23
387,7,163,22
388,7,163,22
389,7,162,22
390,7,161,22
391,7,162,22
392,7,162,23
393,7,161,22
394,7,162,22
395,7,162,22
396,7,162,22
397,7,162,22
398,7,161,22
399,7,161,22
400,2,173,19
401,4,170,20
402,4,168,19
403,4,168,21
405,0,163,23
406,0,164,22
407,0,161,18
410,12,158,13
411,12,157,11
412,12,156,10
413,12,154,10
414,12,153,11
415,12,151,11
416,12,147,10
417,12,143,10
418,12,141,10
419,12,142,10
420,12,140,9
421,12,137,9
422,12,135,9
423,12,131,8
424,12,128,7
430,0,121,5
431,0,120,4
432,0,118,5
433,0,115,5
434,0,112,5
435,0,109,4
436,0,110,2
438,1,103,-1
441,8,-72,-34
442,8,-81,-14
443,8,-86,1
444,8,-86,7
445,8,-86,6
446,8,-82,1
447,8,-84,4
448,8,-84,7
449,8,-83,4
450,8,-81,5
451,8,-78,5
452,8,-76,3
453,8,-74,-2
454,8,-74,-4
455,8,-75,-2
456,8,-74,-2
457,8,-71,-5
458,8,-70,-3
459,8,-72,-2
460,8,-72,-1
461,8,-72,-3
462,8,-69,-4
463,8,-69,-4
464,8,10,1
465,8,-25,-7
465,9,28,-12
466,8,-22,-6
466,9,20,-13
467,9,-39,-2
468,8,19,-5
468,8,-60,-5
469,8,-36,-2
469,9,38,-17
470,8,-41,-5
470,9,37,-18
471,8,-23,-4
471,9,31,-15
472,9,-24,-9
473,8,-21,-13
473,8,-56,-1
474,8,-28,-2
474,9,28,-15
475,8,-23,-1
475,9,25,-22
476,8,-19,-3
476,9,28,-19
477,9,12,-13
478,8,-19,-14
479,8,-29,-2
479,9,31,-18
480,9,16,6
481,9,22,3
485,9,27,-21
486,9,28,-18
489,0,-70,9
489,8,14,-24
490,9,15,-27
494,8,27,-25
495,9,27,-23
502,8,-34,-6
503,8,-30,-4
504,8,-30,-4
505,8,-30,-1
506,8,-32,-3
507,8,-30,-3
508,8,-22,-8
509,8,-25,-6
510,8,-21,-7
511,8,-23,-7
512,8,-26,-4
513,8,-28,-3
514,8,-30,-3
515,8,-23,-4
516,8,-18,-8
517,8,-17,-5
518,8,-22,-4
519,8,-21,-3
522,8,-4,-6
523,8,-4,-11
524,8,-4,-9
525,8,-6,-9
526,2,94,-13
527,8,2,-4
527,2,110,-18
528,8,-1,-12
528,9,112,-15
529,8,-6,-11
529,9,106,-23
530,8,-8,-11
530,9,111,-22
531,8,-10,-8
531,9,106,-21
532,8,-2,-5
532,9,104,-18
533,8,-4,-5
533,9,102,-18
534,8,-4,-5
534,9,105,-19
535,8,-5,-5
535,9,104,-18
536,8,-5,-5
536,9,109,-19
537,8,-8,-4
537,9,106,-18
538,9,111,-20
539,8,-5,-4
539,9,107,-19
540,9,111,-20
541,8,-2,-4
541,9,106,-19
542,9,108,-21
543,8,-7,-4
543,9,105,-18
544,8,-18,4
550,8,-14,-4
551,8,-13,-1
552,8,-14,-2
553,8,-14,-6
554,8,-14,-4
556,8,-23,-8
557,8,-20,-3
558,8,-24,0
559,8,-23,0
561,1,66,-21
562,10,65,-16
563,10,63,-17
564,10,61,-19
565,10,64,-18
566,10,65,-18
567,10,63,-18
568,10,61,-17
569,10,60,-16
570,10,59,-16
571,10,60,-16
572,10,63,-15
573,10,63,-14
574,10,65,-11
575,10,63,-15
576,10,64,-17
577,8,-53,0
578,8,-50,4
579,8,-51,1
580,8,-48,2
581,8,-52,1
582,8,-52,1
583,8,-55,2
584,8,-46,1
585,8,-47,3
586,8,-49,2
587,8,-53,3
588,8,-56,4
589,8,-56,5
590,8,-56,6
