1,2,3,-14
2,2,5,-15
3,2,7,-16
4,2,7,-15
5,2,8,-13
6,2,9,-11
7,2,8,-12
8,2,8,-13
9,2,8,-12
10,2,8,-10
11,2,8,-9
12,2,8,-9
13,2,7,-9
21,2,56,2
22,2,72,4
23,9,87,9
24,2,130,22
24,9,89,4
25,9,89,-3
26,9,86,-3
27,2,151,53
27,8,84,-4
28,8,84,-3
29,8,82,-2
30,8,81,-3
31,9,81,-2
32,9,81,-2
34,9,81,-2
35,9,81,-3
43,1,-109,3
44,1,-112,7
46,1,-110,7
47,1,-111,7
48,1,-113,8
49,9,-36,-2
50,1,-37,2
51,1,-112,7
52,1,-40,10
52,1,-108,7
54,10,-62,2
56,6,-54,-2
57,6,-52,-2
58,6,-47,12
58,6,-48,0
59,6,-46,0
60,6,-51,13
60,6,-45,-1
61,6,-42,0
62,6,-40,-1
63,6,-39,0
66,1,-100,8
67,1,-116,7
68,1,-132,6
69,1,-133,6
70,1,-134,6
71,1,-134,6
72,1,-134,5
73,1,-134,6
74,1,-134,7
75,1,-135,7
76,1,-135,8
77,1,-137,9
78,1,-139,9
79,1,-140,9
80,1,-140,8
81,1,-142,8
82,1,-145,7
83,1,-144,7
84,1,-141,8
85,1,-139,8
86,1,-134,7
87,1,-129,7
88,1,-127,7
89,1,-130,7
90,1,-138,6
91,1,-143,5
92,1,-145,4
93,1,-147,4
94,1,-143,6
95,1,-136,8
96,1,-129,7
97,1,-117,4
98,1,-107,1
99,1,-103,0
100,1,-103,1
101,1,-102,1
102,12,-93,-1
103,12,-91,-1
104,12,-87,-1
105,12,-83,-1
106,12,-80,0
107,12,-77,0
108,12,-75,0
110,12,-73,1
114,12,-74,1
115,12,-73,1
129,3,-115,-1
130,3,-113,-1
131,12,-107,-1
132,12,-105,-1
133,12,-104,-1
134,12,-105,-1
135,12,-106,0
136,12,-107,1
137,12,-102,1
138,12,-95,1
139,12,-88,1
140,12,-95,3
141,12,-107,5
142,12,-107,4
143,12,-107,3
144,12,-106,2
145,12,-105,1
146,12,-105,1
147,12,-97,1
149,12,17,12
150,13,16,12
151,13,14,11
152,13,11,10
153,13,10,9
154,12,-44,22
154,13,10,9
155,13,9,10
156,12,-13,13
156,13,8,10
157,13,6,11
158,12,-15,22
158,13,5,13
159,12,-14,22
159,13,5,13
160,12,3,2
161,13,3,18
162,13,3,17
163,13,3,14
164,13,3,13
165,13,3,14
166,13,2,12
167,13,1,11
168,13,1,12
169,13,0,11
170,13,1,10
171,13,3,10
172,13,4,12
173,13,5,15
174,13,5,16
175,13,3,13
176,13,3,16
177,13,3,22
178,0,-112,5
179,0,-108,3
180,0,-106,2
181,12,4,17
181,0,-107,3
188,12,13,16
188,0,-105,3
189,12,12,17
189,0,-106,3
190,12,13,18
190,0,-105,3
191,12,-107,1
192,0,-107,1
195,12,-103,0
196,12,-100,2
197,12,-94,4
198,12,-89,5
199,12,-87,6
222,12,-111,-4
223,12,-111,2
224,12,-108,6
225,12,-105,5
226,12,-105,3
227,12,-106,3
228,12,-105,3
229,12,-104,3
