1,2,3,-14
2,2,5,-15
3,2,8,-16
4,2,8,-15
5,2,8,-13
6,2,9,-11
7,2,8,-12
8,2,8,-13
9,2,9,-12
10,2,8,-10
11,2,8,-9
12,2,8,-9
13,2,7,-9
21,2,56,2
22,2,73,4
23,9,87,9
24,2,130,22
24,9,89,4
25,9,89,-3
26,9,86,-3
27,2,151,53
27,8,84,-4
28,8,84,-3
29,8,82,-2
30,8,81,-3
31,9,81,-2
32,9,80,-2
34,9,81,-2
35,9,81,-3
43,1,-109,3
44,1,-112,7
46,1,-110,7
47,1,-111,7
48,1,-113,8
49,9,-36,-2
50,1,-37,2
51,1,-112,7
52,1,-40,10
52,1,-107,7
54,10,-62,2
56,6,-54,-2
57,6,-53,-2
58,6,-47,12
58,6,-49,0
59,6,-47,0
60,6,-51,13
60,6,-45,-1
61,6,-42,0
62,6,-40,-1
63,6,-40,0
66,1,-100,8
67,1,-116,7
68,1,-132,6
69,1,-133,6
70,1,-134,6
71,1,-134,6
72,1,-134,6
73,1,-134,6
74,1,-134,7
75,1,-135,7
76,1,-136,8
77,1,-138,9
78,1,-139,9
79,1,-140,9
80,1,-140,8
81,1,-142,8
82,1,-145,7
83,1,-143,7
84,1,-141,8
85,1,-139,8
86,1,-134,7
87,1,-129,7
88,1,-126,7
89,1,-130,7
90,1,-139,6
91,1,-144,5
92,1,-145,4
93,1,-147,4
94,1,-143,6
95,1,-136,8
96,1,-128,7
97,1,-115,4
98,1,-104,0
99,1,-101,0
100,1,-101,1
101,1,-101,1
102,12,-93,-1
103,12,-89,-1
104,12,-85,-1
105,12,-82,-1
106,12,-78,0
107,12,-75,0
108,12,-73,0
110,12,-73,1
114,12,-74,1
115,12,-72,1
129,3,-115,-1
130,3,-113,-1
131,12,-107,-1
132,12,-105,-1
133,12,-103,-1
134,12,-104,-1
135,12,-106,0
136,12,-106,1
137,12,-102,1
138,12,-94,1
139,12,-86,1
140,12,-95,3
141,12,-107,5
142,12,-107,4
143,12,-107,3
144,12,-106,2
145,12,-105,1
146,12,-105,1
147,12,-98,1
149,12,17,12
150,13,16,12
151,13,14,11
152,13,11,10
153,13,10,9
154,12,-44,22
154,13,10,9
155,13,8,10
156,12,-13,13
156,13,7,10
157,13,5,11
158,12,-15,22
158,13,5,13
159,12,-13,22
159,13,5,13
160,12,3,2
161,13,3,18
162,13,3,17
163,13,3,14
164,13,3,13
165,13,3,14
166,13,2,12
167,13,1,11
168,13,1,11
169,13,0,11
170,13,1,10
171,13,3,10
172,13,4,12
173,13,5,15
174,13,5,16
175,13,3,13
176,13,4,16
177,13,4,22
178,0,-112,5
179,0,-108,3
180,0,-105,2
181,12,4,17
181,0,-107,3
188,12,13,16
188,0,-105,3
189,12,11,16
189,0,-106,3
190,12,12,18
190,0,-105,3
191,12,-107,1
192,0,-107,1
195,12,-103,0
196,12,-100,2
197,12,-93,4
198,12,-88,5
199,12,-86,6
222,12,-111,-4
223,12,-111,2
224,12,-108,6
225,12,-105,5
226,12,-104,3
227,12,-105,3
228,12,-105,3
229,12,-104,3
230,12,-99,1
231,12,-92,-1
232,12,-86,0
233,12,-81,0
234,12,-78,0
235,12,-179,6
236,1,176,5
237,1,173,4
238,1,171,2
239,1,170,2
240,5,173,9
241,5,173,7
242,5,173,4
243,1,174,2
244,1,175,3
245,1,175,3
246,1,174,3
247,1,174,3
248,1,174,3
249,1,175,3
250,1,174,3
251,1,174,4
252,1,174,4
253,1,173,4
254,1,171,5
255,1,169,7
256,1,168,8
257,1,167,9
258,2,165,13
259,2,164,15
260,2,163,17
261,2,164,19
262,2,164,20
263,2,163,20
264,2,161,21
265,2,161,21
266,2,160,21
267,2,160,21
268,2,161,22
269,4,162,22
270,4,162,22
271,4,162,22
272,4,162,21
273,4,162,21
274,4,161,21
275,4,161,22
276,4,161,22
277,4,161,22
278,4,161,21
279,4,160,21
280,7,167,18
281,2,167,19
282,2,166,20
283,2,166,23
284,2,167,25
285,2,167,26
286,2,165,25
287,2,163,24
288,2,161,24
289,2,161,24
290,2,161,23
291,2,161,23
292,9,-55,6
292,2,159,23
293,9,-52,5
293,2,159,23
294,9,-52,5
294,2,160,23
295,2,160,23
296,2,160,23
297,2,160,23
298,2,160,23
299,2,161,23
300,2,161,23
301,2,161,24
302,2,162,24
303,2,162,24
304,2,161,24
305,2,161,24
306,2,161,23
307,2,160,24
308,2,160,24
309,2,160,24
310,2,159,24
311,2,159,24
312,2,159,24
313,2,160,24
314,2,161,24
315,2,161,24
316,2,160,24
317,2,160,25
318,2,160,25
319,2,159,25
320,7,170,19
321,2,169,19
322,2,167,20
323,7,168,22
324,7,168,23
325,7,167,24
326,7,165,23
327,7,163,23
328,7,161,23
329,7,161,23
330,7,160,23
331,7,160,23
332,7,160,22
333,7,161,22
334,7,161,22
335,7,161,22
336,7,162,23
337,7,162,23
338,7,161,23
339,7,161,23
340,0,38,6
340,7,161,22
341,0,39,6
341,7,162,21
342,7,162,22
343,7,160,25
348,7,158,23
349,7,157,23
350,7,155,24
352,2,159,23
357,2,163,22
358,2,165,22
359,4,166,22
360,2,170,19
361,2,168,20
362,7,165,21
363,7,166,22
364,7,168,23
365,7,167,24
366,7,164,23
367,7,163,22
368,7,161,22
369,7,161,22
370,7,161,22
371,7,161,23
372,7,162,23
373,7,161,23
374,7,161,23
375,7,162,23
376,7,162,22
377,7,162,22
378,7,162,22
379,7,162,22
380,7,162,22
381,7,162,22
382,7,161,22
383,7,161,23
384,7,161,23
385,7,162,23
386,7,162,22
387,7,163,22
388,7,163,22
389,7,162,22
390,7,161,22
391,7,161,22
392,7,161,22
393,7,161,23
394,7,161,22
395,7,161,22
396,7,161,22
397,7,161,22
398,7,161,22
399,7,161,22
400,2,173,19
401,4,170,20
402,4,169,20
403,4,168,20
405,0,163,23
406,0,163,23
407,0,162,20
410,12,158,13
411,12,157,12
412,12,156,11
413,12,154,10
414,12,153,11
415,12,151,11
416,12,148,10
417,12,144,10
418,12,141,10
419,12,141,10
420,12,140,9
421,12,137,9
422,12,134,9
423,12,131,9
424,12,128,7
430,0,121,5
431,0,120,5
432,0,118,5
433,0,115,5
434,0,112,5
435,0,109,5
436,0,108,3
438,1,103,-1
441,8,-72,-34
442,8,-77,-24
443,8,-84,-7
444,8,-87,4
445,8,-86,7
446,8,-84,4
447,8,-83,3
448,8,-84,5
449,8,-83,5
450,8,-82,5
451,8,-79,5
452,8,-77,4
453,8,-75,1
454,8,-74,-3
455,8,-74,-3
456,8,-74,-2
457,8,-72,-3
458,8,-71,-4
459,8,-71,-3
460,8,-72,-1
461,8,-72,-2
462,8,-71,-3
463,8,-69,-4
464,8,10,1
465,8,-7,-3
465,9,28,-12
466,8,-22,-6
466,9,23,-13
467,9,-39,-2
468,8,19,-5
468,8,-60,-5
469,8,-48,-3
469,9,38,-17
470,8,-38,-3
470,9,37,-18
471,8,-32,-5
471,9,34,-17
472,9,-24,-9
473,8,-21,-13
473,8,-56,-1
474,8,-25,-8
474,9,28,-15
475,8,-25,-2
475,9,26,-19
476,8,-20,-2
476,9,27,-21
477,9,20,-16
478,8,-19,-14
479,8,-24,-8
479,9,31,-18
480,9,16,6
481,9,19,4
485,9,27,-21
486,9,28,-20
489,0,-70,9
489,8,14,-24
490,9,15,-27
494,8,27,-25
495,9,27,-23
502,8,-34,-6
503,8,-33,-5
504,8,-30,-4
505,8,-30,-2
506,8,-31,-2
507,8,-31,-3
508,8,-26,-5
509,8,-24,-7
510,8,-24,-6
511,8,-22,-7
512,8,-26,-5
513,8,-27,-3
514,8,-29,-3
515,8,-26,-3
516,8,-22,-6
517,8,-19,-6
518,8,-21,-5
519,8,-23,-4
522,8,-4,-6
523,8,-3,-9
