family,context,variant,seed,evidence_level,motion_group,prediction_files,prediction_rows,unmatched_predictions_global,references,matched_recall_micro,recall_at_threshold_micro,mean_localization_error_deg_micro,median_localization_error_deg_micro,p90_localization_error_deg_micro,matched_recall_macro_class,recall_at_threshold_macro_class,mean_localization_error_deg_macro_class,prediction_dir,split,source
Multi-ACCDOA,causal,C2_lambda005,2026,completion_three_seed,static,100.0,41272.0,13256.0,31428.0,0.4738449789996182,0.38682066946671756,14.480985447444146,10.96927427827399,25.37264417483749,0.377431627038215,0.30620219583370234,14.786757795646716,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_pilot_v2_C2_lambda005_seed2026_validation_seed2026_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C2_lambda005,2026,completion_three_seed,dynamic,100.0,41272.0,13256.0,26274.0,0.49950521428027705,0.39293598233995586,15.277830255148714,12.026308437735945,26.722280948169093,0.46781920023289975,0.3482093408213438,17.917009119732178,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_pilot_v2_C2_lambda005_seed2026_validation_seed2026_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C3_lambda005,2026,completion_three_seed,static,100.0,41511.0,14029.0,31428.0,0.46525391370752195,0.3706567392134402,15.116975361098488,11.715355799578301,25.300730892366584,0.3681118038553088,0.28839258933008405,15.156834524856604,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_supplemental_v2_C3_lambda005_seed2026_validation_seed2026_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C3_lambda005,2026,completion_three_seed,dynamic,100.0,41511.0,14029.0,26274.0,0.48945725812590396,0.3954099109385705,14.268537472117602,12.050174285126579,25.236511500371435,0.4681006994031477,0.35421824039197547,16.465064082840794,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_supplemental_v2_C3_lambda005_seed2026_validation_seed2026_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C2_lambda005,2027,completion_three_seed,static,100.0,41654.0,14296.0,31428.0,0.4594310805651012,0.38367061219294896,14.777998546834901,11.521757803926198,25.469455216218996,0.3920266590185565,0.3243147040687272,15.333545637688339,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_promoted_v2_C2_lambda005_seed2027_validation_seed2027_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C2_lambda005,2027,completion_three_seed,dynamic,100.0,41654.0,14296.0,26274.0,0.49170282408464644,0.3848671690644744,16.010852418300086,12.47376999709828,27.23865630589183,0.48353492452294655,0.37567134124208557,16.86053257347581,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_promoted_v2_C2_lambda005_seed2027_validation_seed2027_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,noncausal,A0,2026,completion_three_seed,static,100.0,45837.0,13246.0,31428.0,0.5678694158075601,0.4933498790887107,12.790349906810636,9.897197151760182,22.2486080879707,0.5278103537142194,0.4483914489347889,13.179111362579528,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_paper_v1_A0_seed2026_validation_seed2026_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,noncausal,A0,2026,completion_three_seed,dynamic,100.0,45837.0,13246.0,26274.0,0.5611631270457487,0.45223414782674887,14.631053714589193,11.591999462409689,27.56190631660069,0.552410641200197,0.45249184949132926,15.14376073653817,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_paper_v1_A0_seed2026_validation_seed2026_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C0,2027,completion_three_seed,static,100.0,41165.0,14239.0,31428.0,0.4600038182512409,0.3878706885579738,14.203362015247832,11.13516772450472,24.2133145628358,0.39809182577760943,0.33656980556290345,15.531946618503842,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_paper_v1_C0_seed2027_validation_seed2027_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C0,2027,completion_three_seed,dynamic,100.0,41165.0,14239.0,26274.0,0.47457562609423765,0.3711273502321687,15.409011407516333,12.448362796445652,27.18217358746457,0.4754518789716231,0.36803584384811977,16.362810699640495,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_paper_v1_C0_seed2027_validation_seed2027_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
