cohort,variant,split,n_runs,n_scored,seeds,dataset,profile,ER20_mean,ER20_sd,F20_mean,F20_sd,LE_CD_mean,LE_CD_sd,LR_CD_mean,LR_CD_sd,SELD_LR_mean,SELD_LR_sd
audited_RB05,C0,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6268334450152632,0.019758550383017767,0.5740512880635322,0.009487729374241654,14.047237018594517,0.2878940145474157,0.7216267986826557,0.0036807424155169775,0.35229889098198347,0.008303980878030071
audited_RB05,C0,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6439733253707575,0.010931789530817582,0.5521604857373511,0.007155925036780731,15.169419168701435,0.3179462237072253,0.7018691071430272,0.005889376501608009,0.36855457085690235,0.006164596597702794
audited_RB05,C1,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6064328791601519,0.02891792900114984,0.580817502575915,0.016515456573030704,13.130603604900562,1.2722948403624732,0.7020313561880198,0.01102526419282756,0.349132954550305,0.010650587667400367
audited_RB05,C1,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6321289937294715,0.03033181495059727,0.5541806400887636,0.03052579142504298,14.23055069329901,2.4719966309968617,0.6807417336412852,0.010599643719968618,0.36906630874054874,0.02032181741675311
audited_RB05,C3_j005,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6089891544436999,0.039641847298423606,0.5753360083791665,0.017341807310910506,13.466572910084771,0.8473225017660624,0.7051243288134917,0.007557887686679169,0.3508357777989893,0.013488846148292545
audited_RB05,C3_j005,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6344182342987956,0.03081385701452612,0.5546095277356438,0.014870137823147124,14.475670606365624,1.9298068127827541,0.6938851403517831,0.0038236017898772724,0.36658598961723887,0.010064662586485152
audited_RB05,C3_j020,evaluation,3,0,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,,,,,,,,,,
audited_RB05,C3_j020,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6360605155767891,0.009130824818808394,0.5365266765789755,0.013818203722996355,14.882410722827501,1.9284289400453656,0.6643839174300656,0.013079062128235269,0.379457495284753,0.007127329922859215
audited_RB05,D1_motionpairs,evaluation,1,0,2026,TAU2020 FOA,dcase2023_micro,,,,,,,,,,
audited_RB05,D1_motionpairs,validation,1,1,2026,TAU2020 FOA,dcase2023_micro,0.6558674231113766,,0.540555672195395,,15.861967604872099,,0.6828252788104089,,0.3801521285887155,
audited_RB05,D3_motionpairs_j005,evaluation,1,0,2026,TAU2020 FOA,dcase2023_micro,,,,,,,,,,
audited_RB05,D3_motionpairs_j005,validation,1,1,2026,TAU2020 FOA,dcase2023_micro,0.6645267243953419,,0.5316384969967872,,16.296355575439733,,0.6851108136248698,,0.38457818063153193,
audited_rabbit02,C0,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6219938947211675,0.004839550294095778,0.5775841154156611,0.008093257295077554,13.621905262816936,1.4288175110712968,0.7165100346973584,0.010306590180139252,0.3508942490170605,0.0035389087896975885
audited_rabbit02,C0,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6503433860853987,0.022538109834459967,0.5509071969435876,0.016346888620000746,14.209669413260949,2.359586657944365,0.6951059849745138,0.010017912053475938,0.37081820300468676,0.01228038592743493
audited_rabbit02,C1,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6010721465266919,0.006706290914109241,0.5819873684997237,0.013892942301695852,12.87132709841209,1.5190956959697517,0.6951041587010729,0.011589823068946547,0.3488719980237129,0.007724442159690182
audited_rabbit02,C1,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6144122623668756,0.003584195795766077,0.5706950471047312,0.01439162971135749,12.91306109942834,1.9684166578093112,0.686741402130879,0.007248371391203462,0.3571787603653558,0.007229550414055997
audited_rabbit02,C2,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.628992628992629,0.006408289715240833,0.5656656703468543,0.011949412684435423,13.484540041109614,1.0201446174743505,0.6953787668506153,0.016919995371464453,0.3607155757836643,0.004924846997183698
