host,record_type,path,run_id,variant,seed,status,checkpoint,prediction_dir,original_metric_protocol,best_validation_json,evaluation_json,n_logged_rows,last_row_json,minimum_logged_selection_metric,minimum_logged_row_json
rabbit02,manifest,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/runtime/manifests/Completion_20260904_paper_v1_A0_seed2026_validation.json,Completion_20260904_paper_v1_A0_seed2026_validation,A0,2026,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/32_paper_v1_A0_seed2026_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/results/32_paper_v1_A0_seed2026_eval_split0_multiaccdoa_foa_20260902094006_test,as_recorded_NOT_relabelled,"{""ER"": 0.5316890881913303, ""F"": 0.5438825448613377, ""LE"": 14.125427593533791, ""LR"": 0.5952593917710197, ""SELD"": 0.3677554373252069, ""epoch"": 93}","{""ER"": [0.5067557423810238, [0.4861573416763502, 0.5299217755896987]], ""F"": [0.557875991581674, [0.5321162511160542, 0.5789718825122352]], ""LE"": [14.741195445834672, [14.076504862454255, 15.533783103524433]], ""LR"": [0.6376324824600687, [0.6150525956018573, 0.6584033024544349]], ""SELD"": [0.34828569964847955, [0.33298195953551624, 0.3660272118126344]]}",,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/runtime/manifests/Completion_20260904_pilot_v2_C1_lambda005_seed2026_validation.json,Completion_20260904_pilot_v2_C1_lambda005_seed2026_validation,C1,2026,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/40_pilot_v2_C1_lambda005_seed2026_eval_split0_multiaccdoa_foa_model.h5,,as_recorded_NOT_relabelled,"{""ER"": 0.6210762331838565, ""F"": 0.4771088242443886, ""LE"": 15.17429117543716, ""LR"": 0.5432577565632458, ""SELD"": 0.4212528175043849, ""epoch"": 97}",{},,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/runtime/manifests/Completion_20260904_supplemental_v2_A3_lambda005_seed2028_validation.json,Completion_20260904_supplemental_v2_A3_lambda005_seed2028_validation,A3,2028,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/52_supplemental_v2_A3_lambda005_seed2028_eval_split0_multiaccdoa_foa_model.h5,,as_recorded_NOT_relabelled,"{""ER"": 0.5644245142002989, ""F"": 0.5160016454134101, ""LE"": 14.720956111588684, ""LR"": 0.5784372203996421, ""SELD"": 0.3879421844740182, ""epoch"": 89}",{},,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/runtime/manifests/Completion_20260904_supplemental_v2_A3_lambda005_seed2028_evaluation.json,Completion_20260904_supplemental_v2_A3_lambda005_seed2028_evaluation,A3,2028,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/52_supplemental_v2_A3_lambda005_seed2028_eval_split0_multiaccdoa_foa_model.h5,,as_recorded_NOT_relabelled,"{""ER"": 0.5644245142002989, ""F"": 0.5160016454134101, ""LE"": 14.720956111588684, ""LR"": 0.5784372203996421, ""SELD"": 0.3879421844740182, ""epoch"": 89}",{},,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/runtime/manifests/Completion_20260904_promoted_v2_C1_lambda005_seed2027_evaluation.json,Completion_20260904_promoted_v2_C1_lambda005_seed2027_evaluation,C1,2027,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/40_promoted_v2_C1_lambda005_seed2027_eval_split0_multiaccdoa_foa_model.h5,,as_recorded_NOT_relabelled,"{""ER"": 0.6221225710014948, ""F"": 0.47901393700153067, ""LE"": 15.42342648196948, ""LR"": 0.556980906921241, ""SELD"": 0.4179533574390828, ""epoch"": 81}",{},,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/runtime/manifests/Completion_20260904_promoted_v2_C2_lambda005_seed2027_evaluation.json,Completion_20260904_promoted_v2_C2_lambda005_seed2027_evaluation,C2,2027,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/41_promoted_v2_C2_lambda005_seed2027_eval_split0_multiaccdoa_foa_model.h5,,as_recorded_NOT_relabelled,"{""ER"": 0.6375186846038864, ""F"": 0.4668574153552694, ""LE"": 16.128031509792905, ""LR"": 0.5502014023571535, ""SELD"": 0.4275150104864672, ""epoch"": 98}",{},,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/runtime/manifests/Completion_20260904_promoted_v2_C2_lambda005_seed2028_evaluation.json,Completion_20260904_promoted_v2_C2_lambda005_seed2028_evaluation,C2,2028,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/41_promoted_v2_C2_lambda005_seed2028_eval_split0_multiaccdoa_foa_model.h5,,as_recorded_NOT_relabelled,"{""ER"": 0.6260089686098654, ""F"": 0.480705097665555, ""LE"": 15.016070975995852, ""LR"": 0.5473668506638818, ""SELD"": 0.4203399092034347, ""epoch"": 92}",{},,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/runtime/manifests/Completion_20260904_paper_v1_C0_seed2027_validation.json,Completion_20260904_paper_v1_C0_seed2027_validation,C0,2027,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/35_paper_v1_C0_seed2027_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/results/35_paper_v1_C0_seed2027_eval_split0_multiaccdoa_foa_20260902122653_test,as_recorded_NOT_relabelled,"{""ER"": 0.6284005979073244, ""F"": 0.47331897583153865, ""LE"": 15.526111912513429, ""LR"": 0.5474485228290062, ""SELD"": 0.4234723191346302, ""epoch"": 98}","{""ER"": [0.6087674523344843, [0.5894665846049757, 0.6302224168155391]], ""F"": [0.4923715951753335, [0.469622743434423, 0.5116394255034236]], ""LE"": [15.302603114082812, [14.660874677894144, 16.226920881009516]], ""LR"": [0.5740325713431944, [0.5516696353270423, 0.5934783073949363]], ""SELD"": [0.40684443689021516, [0.3927392846039244, 0.42348015389028115]]}",,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/runtime/manifests/Completion_20260904_paper_v1_A0_seed2027_validation.json,Completion_20260904_paper_v1_A0_seed2027_validation,A0,2027,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/32_paper_v1_A0_seed2027_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/results/32_paper_v1_A0_seed2027_eval_split0_multiaccdoa_foa_20260902103752_test,as_recorded_NOT_relabelled,"{""ER"": 0.5485799701046338, ""F"": 0.5264954486345904, ""LE"": 14.820816335062894, ""LR"": 0.6059025190043226, ""SELD"": 0.374629967748462, ""epoch"": 81}","{""ER"": [0.5286743732172346, [0.507595087632072, 0.550608000298522]], ""F"": [0.5398584428715875, [0.5157118217133153, 0.5618020342283571]], ""LE"": [15.350193510937425, [14.436518602237054, 16.309646712702367]], ""LR"": [0.6242718446601941, [0.6016165400498494, 0.6451770608330689]], ""SELD"": [0.36245573463099856, [0.34665475419331176, 0.3795221609650747]]}",,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/runtime/manifests/Completion_20260904_promoted_v2_C2_lambda005_seed2028_validation.json,Completion_20260904_promoted_v2_C2_lambda005_seed2028_validation,C2,2028,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/41_promoted_v2_C2_lambda005_seed2028_eval_split0_multiaccdoa_foa_model.h5,,as_recorded_NOT_relabelled,"{""ER"": 0.6260089686098654, ""F"": 0.480705097665555, ""LE"": 15.016070975995852, ""LR"": 0.5473668506638818, ""SELD"": 0.4203399092034347, ""epoch"": 92}",{},,,,
