run_id,variant,seed,lambda_velocity,lambda_jepa,split,status,manifest_path,metric_protocol,ER,F,LE,LR,SELD
pilot_v2_C2_lambda005_seed2026,C2,2026,0.0,0.05,validation,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/41_pilot_v2_C2_lambda005_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6261584454409567,0.4763048350944605,15.674344349791395,0.560077519379845,0.41921394544970647
paper_v1_A3_seed2026,A3,2026,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/52_paper_v1_A3_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.5804185351270553,0.4942302760919737,14.621440355753311,0.5425246195165622,0.40622346592928726
paper_v1_A3_seed2026,A3,2026,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/52_paper_v1_A3_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.5565981083921333,0.5133437328723808,15.116444391962395,0.5625560538116592,0.39116964208252664
C3_smoke_seed2026_strictcausal_v1,C3,2026,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/45_C3_smoke_seed2026_strictcausal_v1_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,1.0,0.0,180,0.0,1.0
C3_smoke_seed2026_strictcausal_v1,C3,2026,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/45_C3_smoke_seed2026_strictcausal_v1_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,1.0,0.0,180,0.0,1.0
C1_smoke_seed2026_strictcausal_v1,C1,2026,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/43_C1_smoke_seed2026_strictcausal_v1_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,1.0,0.0,180,0.0,1.0
C1_smoke_seed2026_strictcausal_v1,C1,2026,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/43_C1_smoke_seed2026_strictcausal_v1_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,1.0,0.0,180,0.0,1.0
paper_v1_A2_seed2027,A2,2027,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/51_paper_v1_A2_seed2027_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.5837070254110612,0.4846712889482917,15.689962880234845,0.5620807870025339,0.4060303524764962
paper_v1_A2_seed2027,A2,2027,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/51_paper_v1_A2_seed2027_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.5663564029425011,0.4958310638119579,15.886525811157052,0.5706062644838155,0.3970443878438445
supplemental_v2_C3_lambda005_seed2026,C3,2026,0.05,0.05,validation,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/42_supplemental_v2_C3_lambda005_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.637219730941704,0.4664475266575804,15.465506848603715,0.547217663732657,0.42736850576092744
pilot_v2_validation_only_smoke,C1,2026,0.02,0.0,validation,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/43_pilot_v2_validation_only_smoke_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,1.0,0.0,180,0.0,1.0
supplemental_v2_C3_lambda005_seed2027,C3,2027,0.05,0.05,validation,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/42_supplemental_v2_C3_lambda005_seed2027_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6210762331838565,0.4756176853055917,14.779798276970789,0.5354424712729443,0.423031516758234
promoted_v2_C2_lambda005_seed2027,C2,2027,0.0,0.05,validation,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/41_promoted_v2_C2_lambda005_seed2027_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6375186846038864,0.4668574153552694,16.128031509792905,0.5502014023571535,0.4275150104864672
paper_v1_A0_seed2026,A0,2026,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/32_paper_v1_A0_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.5316890881913303,0.5438825448613377,14.125427593533791,0.5952593917710197,0.3677554373252069
paper_v1_A0_seed2026,A0,2026,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/32_paper_v1_A0_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.5067557423810238,0.557875991581674,14.741195445834672,0.6376324824600687,0.34828569964847955
C0_smoke_seed2026_strictcausal_v1,C0,2026,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/34_C0_smoke_seed2026_strictcausal_v1_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,1.0,0.0,180,0.0,1.0
C0_smoke_seed2026_strictcausal_v1,C0,2026,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/34_C0_smoke_seed2026_strictcausal_v1_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,1.0,0.0,180,0.0,1.0
paper_v1_C1_seed2028,C1,2028,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/40_paper_v1_C1_seed2028_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6185351270553064,0.4641392585153569,15.742143645522088,0.5240298507462686,0.42945559284497864
paper_v1_C1_seed2028,C1,2028,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/40_paper_v1_C1_seed2028_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6127458339588651,0.47045483180042835,15.619411445115794,0.5208099828140178,0.42706388184321
paper_v1_C0_seed2027,C0,2027,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/35_paper_v1_C0_seed2027_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6284005979073244,0.47331897583153865,15.526111912513429,0.5474485228290062,0.4234723191346302
paper_v1_C0_seed2027,C0,2027,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/35_paper_v1_C0_seed2027_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6087674523344843,0.4923715951753335,15.302603114082812,0.5740325713431944,0.40684443689021516
