cohort,variant,baseline,seed,split,ER20_delta,F20_delta,LE_CD_delta,LR_CD_delta,SELD_LR_delta
audited_RB05,C1,C0,2026,evaluation,-0.05628769265132905,0.03268793062812314,-2.681141473562297,-0.017903975411998396,-0.02149171956903334
audited_RB05,C1,C0,2026,validation,-0.04926843833980299,0.03891093591425232,-3.5446277732559857,-0.007993053754070445,-0.024969674254518515
audited_RB05,C1,C0,2027,evaluation,0.03417467053830692,-0.019054283179002263,-0.18677706777172354,-0.012733244773890928,0.016231137028672626
audited_RB05,C1,C0,2027,validation,0.023439832785906223,-0.020882384960323908,0.06614041926604486,-0.024542188664616105,0.017307963296136597
audited_RB05,C1,C0,2028,evaluation,-0.03908867545231187,0.006664996088027619,0.11801830025215665,-0.028149107298018228,-0.004237226754674583
audited_RB05,C1,C0,2028,validation,-0.009704389369961097,-0.011968087899690838,0.6618819277826677,-0.03084687808653963,0.009196924609321089
audited_RB05,C3_j005,C0,2026,evaluation,-0.02285756831211372,0.001673810810538634,0.0074344795803344965,-0.005932077710217976,-0.004639499687024817
audited_RB05,C3_j005,C0,2026,validation,0.017020005971931873,-0.01081446687212495,0.015726321142309985,-0.0019935511593526245,0.00747884811354993
audited_RB05,C3_j005,C0,2027,evaluation,0.03499367135730769,-0.02045425478348817,-1.3701694176698958,-0.025122064988081116,0.018239484702122166
audited_RB05,C3_j005,C0,2027,validation,0.004777545535980865,0.009283320836341202,-2.63836673361201,-0.011759014279487112,-0.001851088496346076
audited_RB05,C3_j005,C0,2028,evaluation,-0.06566897475988387,0.022634604919852364,-0.3792573874396794,-0.01845326690919269,-0.017989324564079867
audited_RB05,C3_j005,C0,2028,validation,-0.05046282472379815,0.008878272030661827,0.5413947254622702,-0.010199334934892668,-0.01153350333619424
audited_RB05,C3_j020,C0,2026,validation,-0.006569125111973717,-0.029733871533569434,1.1079093196801324,-0.03464143688926902,0.015990308771716366
audited_RB05,C3_j020,C0,2027,validation,-0.006270528515974871,-0.014096497243081041,0.9076517256249517,-0.030299590559001,0.0107920172182282
audited_RB05,C3_j020,C0,2028,validation,-0.010898775753956369,-0.0030710586984763477,-2.8765863829268827,-0.04751454169061464,0.005926447293607362
audited_RB05,D1_motionpairs,C0,2026,validation,0.008808599581964782,-0.009840546350413426,0.8614803773635451,-0.014509841034760051,0.009486247265900527
audited_RB05,D3_motionpairs_j005,C0,2026,validation,0.017467900865930086,-0.018757721549021222,1.2958683479311794,-0.01222430622029913,0.013912299308716958
audited_rabbit02,C1,C0,2026,evaluation,-0.026431390067753746,-0.0012737186885066754,-0.3299570342515761,-0.02589496174222694,-0.0002739510679377055
audited_rabbit02,C1,C0,2026,validation,-0.06569125111973728,0.02037290080549059,-1.3111186145133296,-0.015838786484454914,-0.019377339435906193
audited_rabbit02,C1,C0,2027,evaluation,-0.020102747375474683,0.010511693102700947,-0.08250864640790923,0.002371258085543726,-0.008361019983163076
audited_rabbit02,C1,C0,2027,validation,-0.01716930426993135,0.013349646544672855,-0.21239247916599346,0.007464951449459245,-0.009790965120413109
audited_rabbit02,C1,C0,2028,evaluation,-0.016231107140198042,0.00397178483799332,-1.8392688125550514,-0.04069392433217334,0.002568218071057893
audited_rabbit02,C1,C0,2028,validation,-0.02493281576590023,0.025641003133267448,-2.366313847818505,-0.016719913495908956,-0.011750023361673634
audited_rabbit02,C2,C0,2026,evaluation,0.010647010647010569,-0.005504522178465532,-0.5803144731660979,-0.006108572339943441,0.004759033967513093
audited_rabbit02,C2,C0,2026,validation,-0.010002985965959943,-0.00041377172292489384,-1.1196098700429502,-0.010988091469249062,-0.0012052944018395295
